ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante
2019,2019-08-11,14,Estádio Aderbal Ramos da Silva,Marielson Alves Silva,4921,17800,Avaí FC,Cruzeiro,Alberto Valentim,Ricardo Resende,20,18,6050000,23500000,28.8,30.6,2,2,1,0,,,,,,,,,,,,,,
2019,2019-08-26,16,Estádio Aderbal Ramos da Silva,Ricardo Marques Ribeiro,9753,17800,Avaí FC,Corinthians,Alberto Valentim,Fábio Carille,20,6,6250000,28550000,28.2,28.5,1,1,0,0,,,,,,,,,,,,,,
2019,2019-09-07,18,Estádio Nacional de Brasília Mané Garrincha,Edina Alves Batista,47575,60000,Avaí FC,Flamengo,Alberto Valentim,Jorge Jesus,20,1,5150000,64800000,27.3,27.9,0,3,0,0,,,,,,,,,,,,,,
2019,2019-09-24,20,Estádio Aderbal Ramos da Silva,Caio Max Augusto Vieira,7463,17800,Avaí FC,Atlético-MG,Alberto Valentim,Rodrigo Santana,20,9,4750000,19450000,26.5,25.1,1,0,1,0,,,,,,,,,,,,,,
2019,2019-10-01,22,Estádio Aderbal Ramos da Silva,Jean Pierre Goncalves Lima,7052,17800,Avaí FC,EC Bahia,Alberto Valentim,Roger Machado,19,8,4550000,13200000,26.5,28.3,0,2,0,2,,,,,,,,,,,,,,
2019,2019-10-27,28,Estádio Aderbal Ramos da Silva,Wilton Sampaio,8815,17800,Avaí FC,Palmeiras,Evando,Mano Menezes,20,2,4800000,56500000,28.4,29.3,1,2,0,0,,,,,,,,,,,,,,
2019,2019-10-30,29,Estádio Aderbal Ramos da Silva,Marcelo Aparecido Ribeiro de Souza,2949,17800,Avaí FC,Fortaleza,Evando,Rogério Ceni,20,14,3950000,8100000,26.4,27.6,1,3,0,1,,,,,,,,,,,,,,
2019,2019-11-06,31,Estádio Aderbal Ramos da Silva,Marcelo de Lima Henrique,4820,17800,Avaí FC,Santos FC,Evando,Jorge Sampaoli,20,3,4750000,28750000,27.7,27.4,1,2,1,2,,,,,,,,,,,,,,
2019,2019-12-01,36,Estádio Aderbal Ramos da Silva,Daniel Nobre Bins,3237,17800,Avaí FC,Fluminense,Evando,Marcão,20,15,5550000,23000000,25.5,25.3,1,1,0,1,,,,,,,,,,,,,,
2019,2019-12-08,38,Estádio Aderbal Ramos da Silva,Dyorgines Jose Padovani,2445,17800,Avaí FC,Athletico-PR,Evando,Eduardo Barros,20,5,5650000,9000000,25.8,24.3,0,0,0,0,,,,,,,,,,,,,,
2019,2019-08-11,14,Estádio Olímpico Nilton Santos,Douglas Marques Flores,7992,46931,Botafogo,Athletico-PR,Eduardo Barroca,Tiago Nunes,9,8,19350000,10850000,29.1,24.8,2,1,1,1,,,,,,,,,,,,,,
2019,2019-08-27,16,Estádio Olímpico Nilton Santos,Edina Alves Batista,8241,46931,Botafogo,Chapecoense,Eduardo Barroca,Emerson Cris,9,17,17700000,12350000,27.3,29.3,0,0,0,0,,,,,,,,,,,,,,
2019,2019-09-08,18,Estádio Olímpico Nilton Santos,Braulio da Silva Machado,12098,46931,Botafogo,Atlético-MG,Eduardo Barroca,Rodrigo Santana,10,7,16150000,26250000,28.7,31.1,2,1,1,0,,,,,,,,,,,,,,
2019,2019-09-21,20,Estádio Olímpico Nilton Santos,Jean Pierre Goncalves Lima,18471,46931,Botafogo,São Paulo,Eduardo Barroca,Cuca,10,6,16300000,35000000,26.9,28.7,1,2,1,1,,,,,,,,,,,,,,
2019,2019-10-06,23,Estádio Olímpico Nilton Santos,Rodolpho Toski Marques,12404,46931,Botafogo,Fluminense,Eduardo Barroca,Marcão,12,16,18550000,38050000,28.6,26.7,0,1,0,1,,,,,,,,,,,,,,
2019,2019-10-10,24,Estádio Olímpico Nilton Santos,Rodrigo D,5574,46931,Botafogo,Goiás EC,Bruno Lazaroni,Ney Franco,12,10,15050000,9700000,27.8,27.5,3,1,1,0,,,,,,,,,,,,,,
2019,2019-10-22,27,Estádio Olímpico Nilton Santos,Leandro Pedro Vuaden,18199,46931,Botafogo,CSA,Alberto Valentim,Argel Fucks,13,17,18400000,8250000,27.8,29.9,2,1,1,0,,,,,,,,,,,,,,
2019,2019-11-01,29,Estádio Olímpico Nilton Santos,Caio Max Augusto Vieira,22412,46931,Botafogo,Cruzeiro,Alberto Valentim,Abel Braga,13,17,17950000,18850000,27.6,29.1,0,2,0,1,,,,,,,,,,,,,,
2019,2019-11-30,36,Estádio Olímpico Nilton Santos,Rodolpho Toski Marques,30596,46931,Botafogo,Internacional,Alberto Valentim,Zé Ricardo,13,8,10450000,27650000,27.2,29.1,0,1,0,0,,,,,,,,,,,,,,
2019,2019-07-28,12,Estádio Governador Magalhães Pinto,Rodrigo Carvalhaes de Miranda,20869,57483,Cruzeiro,Athletico-PR,Mano Menezes,Tiago Nunes,16,8,11500000,18200000,25.2,27.5,0,2,0,1,,,,,,,,,,,,,,
2019,2019-08-18,15,Estádio Governador Magalhães Pinto,Anderson Daronco,36975,57483,Cruzeiro,Santos FC,Rogério Ceni,Jorge Sampaoli,17,1,22900000,32000000,29.5,26.8,2,0,1,0,,,,,,,,,,,,,,
2019,2019-09-02,17,Estádio Governador Magalhães Pinto,Héber Lopes,26052,57483,Cruzeiro,Vasco da Gama,Rogério Ceni,Vanderlei Luxemburgo,16,14,22650000,16550000,30,25.5,1,0,0,0,,,,,,,,,,,,,,
2019,2019-09-08,18,Estádio Raimundo Sampaio,Rafael Traci,14208,57483,Cruzeiro,Grêmio,Rogério Ceni,Renato Gaúcho,16,11,20100000,78650000,31,28.4,1,4,1,2,,,,,,,,,,,,,,
2019,2019-09-21,20,Estádio Governador Magalhães Pinto,Raphael Claus,40333,57483,Cruzeiro,Flamengo,Rogério Ceni,Jorge Jesus,17,1,17600000,78300000,28.2,27.9,1,2,1,1,,,,,,,,,,,,,,
2019,2019-10-17,26,Estádio Governador Magalhães Pinto,Wilton Sampaio,30969,57483,Cruzeiro,São Paulo,Abel Braga,Fernando Diniz,18,5,21150000,46500000,31.1,29,1,0,0,0,,,,,,,,,,,,,,
2019,2019-10-27,28,Estádio Governador Magalhães Pinto,Raphael Claus,32268,57483,Cruzeiro,Fortaleza,Abel Braga,Rogério Ceni,17,14,19350000,8800000,29.9,29.4,1,1,0,0,,,,,,,,,,,,,,
2019,2019-11-03,30,Estádio Governador Magalhães Pinto,Wagner Reway,25913,57483,Cruzeiro,EC Bahia,Abel Braga,Roger Machado,16,9,20950000,12700000,29.3,27.2,1,1,0,0,,,,,,,,,,,,,,
2019,2019-11-28,35,Estádio Governador Magalhães Pinto,Vinicius Gonçalves Dias Araujo,34290,57483,Cruzeiro,CSA,Abel Braga,Argel Fucks,17,18,18600000,8000000,29.3,29.6,0,1,0,1,,,,,,,,,,,,,,
2019,2019-08-04,13,Arena Fonte Nova,Flavio Rodrigues de Souza,43642,55000,EC Bahia,Flamengo,Roger Machado,Jorge Jesus,12,3,13200000,56400000,27.9,27.9,3,0,3,0,,,,,,,,,,,,,,
2019,2019-08-18,15,Arena Fonte Nova,Raphael Claus,28866,55000,EC Bahia,Goiás EC,Roger Machado,Ney Franco,10,13,13450000,8250000,27,27,1,1,0,1,,,,,,,,,,,,,,
2019,2019-08-31,17,Arena Fonte Nova,Vinicius Gomes,32483,55000,EC Bahia,CSA,Roger Machado,Argel Fucks,8,19,13950000,7450000,28.4,29.1,1,0,0,0,,,,,,,,,,,,,,
2019,2019-09-15,19,Arena Fonte Nova,Wagner do Nascimento Magalhães,38977,55000,EC Bahia,Fortaleza,Roger Machado,Zé Ricardo,7,13,13950000,9850000,28.4,28.4,1,1,1,1,,,,,,,,,,,,,,
2019,2019-09-26,21,Arena Fonte Nova,Flavio Rodrigues de Souza,19769,55000,EC Bahia,Botafogo,Roger Machado,Eduardo Barroca,8,11,13200000,16800000,28.2,28.9,2,0,1,0,,,,,,,,,,,,,,
2019,2019-10-10,24,Arena Fonte Nova,Braulio da Silva Machado,32021,55000,EC Bahia,São Paulo,Roger Machado,Fernando Diniz,7,5,12550000,37500000,27.5,28.7,0,0,0,0,,,,,,,,,,,,,,
2019,2019-10-22,27,Estádio Governador Roberto Santos,Luiz Flávio de Oliveira,28830,30000,EC Bahia,Ceará SC,Roger Machado,Adilson Batista,8,16,13400000,7750000,28.8,30.2,1,2,0,0,,,,,,,,,,,,,,
2019,2019-10-27,28,Arena Fonte Nova,Marcelo de Lima Henrique,27542,55000,EC Bahia,Internacional,Roger Machado,Zé Ricardo,8,6,12900000,22950000,27.3,27.4,2,3,0,0,,,,,,,,,,,,,,
2019,2019-11-06,31,Arena Fonte Nova,Vinicius Furlan,16836,55000,EC Bahia,Chapecoense,Roger Machado,Marquinhos Santos,10,19,12950000,10200000,27.4,30,1,1,0,1,,,,,,,,,,,,,,
2019,2019-11-27,35,Arena Fonte Nova,Thiago Duarte Peixoto,13126,55000,EC Bahia,Atlético-MG,Roger Machado,Vágner Mancini,10,13,12000000,20700000,27.5,27.9,1,1,0,0,,,,,,,,,,,,,,
2019,2019-12-05,37,Arena Fonte Nova,Felipe Fernandes,25148,55000,EC Bahia,Vasco da Gama,Roger Machado,Vanderlei Luxemburgo,11,12,12100000,15250000,27.4,25.9,1,1,1,0,,,,,,,,,,,,,,
2019,2019-07-28,12,Estádio Jornalista Mário Filho,Raphael Claus,45622,78838,Flamengo,Botafogo,Jorge Jesus,Eduardo Barroca,3,9,57550000,20150000,26.6,28.1,3,2,1,1,,,,,,,,,,,,,,
2019,2019-08-11,14,Estádio Jornalista Mário Filho,Braulio da Silva Machado,57644,78838,Flamengo,Grêmio,Jorge Jesus,Renato Gaúcho,3,13,49900000,22400000,27.9,28,3,1,1,1,,,,,,,,,,,,,,
2019,2019-09-01,17,Estádio Jornalista Mário Filho,Rafael Traci,65969,78838,Flamengo,Palmeiras,Jorge Jesus,Luiz Felipe Scolari,1,3,80300000,54000000,28.3,29.5,3,0,2,0,,,,,,,,,,,,,,
2019,2019-09-14,19,Estádio Jornalista Mário Filho,Braulio da Silva Machado,68243,78838,Flamengo,Santos FC,Jorge Jesus,Jorge Sampaoli,1,2,80300000,30850000,28.3,27.3,1,0,1,0,,,,,,,,,,,,,,
2019,2019-09-26,21,Estádio Jornalista Mário Filho,Luiz Flávio de Oliveira,64548,78838,Flamengo,Internacional,Jorge Jesus,Odair Hellmann,1,4,80300000,30400000,28.3,30.1,3,1,1,0,,,,,,,,,,,,,,
2019,2019-09-29,22,Estádio Jornalista Mário Filho,Rafael Traci,67051,78838,Flamengo,São Paulo,Jorge Jesus,Fernando Diniz,1,6,68300000,42000000,27.4,28.7,0,0,0,0,,,,,,,,,,,,,,
2019,2019-10-27,28,Estádio Jornalista Mário Filho,Rodolpho Toski Marques,69846,78838,Flamengo,CSA,Jorge Jesus,Argel Fucks,1,18,80000000,8700000,27.9,29.7,1,0,1,0,,,,,,,,,,,,,,
2019,2019-11-03,30,Estádio Jornalista Mário Filho,Jean Pierre Goncalves Lima,64985,78838,Flamengo,Corinthians,Jorge Jesus,Fábio Carille,1,7,78000000,44550000,27.3,27.1,4,1,2,0,,,,,,,,,,,,,,
2019,2019-11-14,34,Estádio Jornalista Mário Filho,Wilton Sampaio,52757,78838,Flamengo,Vasco da Gama,Jorge Jesus,Vanderlei Luxemburgo,1,11,83000000,19050000,27.8,27.1,4,4,2,2,,,,,,,,,,,,,,
2019,2019-11-27,35,Estádio Jornalista Mário Filho,Paulo Roberto Alves Júnior,67539,78838,Flamengo,Ceará SC,Jorge Jesus,Adilson Batista,1,16,81000000,7800000,28.5,30.4,4,1,0,1,,,,,,,,,,,,,,
2019,2019-12-05,37,Estádio Jornalista Mário Filho,Jefferson Ferreira Moraes,69090,78838,Flamengo,Avaí FC,Jorge Jesus,Evando,1,20,68400000,5450000,27.5,25.6,6,1,3,1,,,,,,,,,,,,,,
2019,2019-08-04,13,Estádio Governador Plácido Castelo,Héber Lopes,38421,60326,Ceará SC,Fortaleza,Enderson Moreira,Rogério Ceni,13,14,8500000,7650000,28.4,29.2,2,1,2,1,,,,,,,,,,,,,,
2019,2019-08-10,14,Estádio Governador Plácido Castelo,Rodrigo Carvalhaes de Miranda,21428,60326,Ceará SC,Chapecoense,Enderson Moreira,Emerson Cris,11,17,7350000,11650000,28.7,29.3,4,1,0,0,,,,,,,,,,,,,,
2019,2019-08-26,16,Estádio Governador Plácido Castelo,Wilton Sampaio,49986,60326,Ceará SC,Flamengo,Enderson Moreira,Jorge Jesus,11,2,9250000,66900000,28.9,26,0,3,0,2,,,,,,,,,,,,,,
2019,2019-09-15,19,Estádio Governador Plácido Castelo,Luiz Flávio de Oliveira,20906,60326,Ceará SC,Botafogo,Enderson Moreira,Eduardo Barroca,12,10,9250000,18050000,28.9,26.3,0,0,0,0,,,,,,,,,,,,,,
2019,2019-09-26,21,Estádio Governador Plácido Castelo,Braulio da Silva Machado,18595,60326,Ceará SC,Cruzeiro,Enderson Moreira,Rogério Ceni,14,18,10000000,19250000,30.4,28.7,0,0,0,0,,,,,,,,,,,,,,
2019,2019-10-26,28,Estádio Governador Plácido Castelo,Jean Pierre Goncalves Lima,35178,60326,Ceará SC,Vasco da Gama,Adilson Batista,Vanderlei Luxemburgo,15,11,8950000,19900000,29.7,26.4,1,1,0,1,,,,,,,,,,,,,,
2019,2019-10-31,29,Estádio Governador Plácido Castelo,Leandro Pedro Vuaden,19660,60326,Ceará SC,Fluminense,Adilson Batista,Marcão,15,16,9150000,23550000,30.2,27,2,0,1,0,,,,,,,,,,,,,,
2019,2019-11-07,31,Estádio Governador Plácido Castelo,Wilton Sampaio,20513,60326,Ceará SC,Internacional,Adilson Batista,Zé Ricardo,15,7,9150000,24400000,30.2,29.5,2,0,1,0,,,,,,,,,,,,,,
2019,2019-11-30,36,Estádio Governador Plácido Castelo,Marcelo Aparecido Ribeiro de Souza,24262,60326,Ceará SC,Athletico-PR,Argel Fucks,Eduardo Barros,16,5,7600000,13350000,29,26.5,1,1,0,0,,,,,,,,,,,,,,
2019,2019-12-04,37,Estádio Governador Plácido Castelo,Rafael Traci,49200,60326,Ceará SC,Corinthians,Argel Fucks,Coelho,16,8,8600000,31600000,29.6,28,0,1,0,0,,,,,,,,,,,,,,
2019,2019-07-29,12,Estádio Governador Plácido Castelo,Wilton Sampaio,41546,60326,Fortaleza,Corinthians,Rogério Ceni,Fábio Carille,14,5,8200000,42250000,30.1,28.5,1,3,1,0,,,,,,,,,,,,,,
2019,2019-08-17,15,Estádio Governador Plácido Castelo,Braulio da Silva Machado,38519,60326,Fortaleza,Internacional,Zé Ricardo,Odair Hellmann,12,8,8700000,18850000,28.4,27,0,1,0,0,,,,,,,,,,,,,,
